device_type,manufacturer,typical_capacity,risk_level,common_use
USB_Flash_Drive,SanDisk,8GB,Medium,Business
USB_Flash_Drive,SanDisk,16GB,High,Transfer
USB_Flash_Drive,SanDisk,32GB,Medium,Business
USB_Flash_Drive,SanDisk,64GB,Low,Personal
USB_Flash_Drive,SanDisk,128GB,High,Business
USB_Flash_Drive,Kingston,8GB,High,Personal
USB_Flash_Drive,Kingston,16GB,Medium,Business
USB_Flash_Drive,Kingston,32GB,Low,Personal
USB_Flash_Drive,Kingston,64GB,Medium,Backup
USB_Flash_Drive,Kingston,128GB,Medium,Business
USB_Flash_Drive,Samsung,8GB,Medium,Transfer
USB_Flash_Drive,Samsung,16GB,High,Backup
USB_Flash_Drive,Samsung,32GB,Low,Personal
USB_Flash_Drive,Samsung,64GB,Medium,Transfer
USB_Flash_Drive,Samsung,128GB,Medium,Business
USB_Flash_Drive,Western_Digital,8GB,Low,Backup
USB_Flash_Drive,Western_Digital,16GB,Low,Transfer
USB_Flash_Drive,Western_Digital,32GB,High,Transfer
USB_Flash_Drive,Western_Digital,64GB,Low,Backup
USB_Flash_Drive,Western_Digital,128GB,Medium,Transfer
USB_Flash_Drive,Seagate,8GB,Low,Business
USB_Flash_Drive,Seagate,16GB,Medium,Personal
USB_Flash_Drive,Seagate,32GB,Low,Backup
USB_Flash_Drive,Seagate,64GB,Low,Personal
USB_Flash_Drive,Seagate,128GB,Low,Business
USB_Flash_Drive,Lexar,8GB,High,Personal
USB_Flash_Drive,Lexar,16GB,Medium,Backup
USB_Flash_Drive,Lexar,32GB,Medium,Transfer
USB_Flash_Drive,Lexar,64GB,High,Business
USB_Flash_Drive,Lexar,128GB,Medium,Business
USB_Flash_Drive,PNY,8GB,Low,Personal
USB_Flash_Drive,PNY,16GB,Medium,Backup
USB_Flash_Drive,PNY,32GB,Medium,Backup
USB_Flash_Drive,PNY,64GB,High,Backup
USB_Flash_Drive,PNY,128GB,Medium,Transfer
External_HDD,SanDisk,500GB,Low,Backup
External_HDD,SanDisk,1TB,Medium,Backup
External_HDD,SanDisk,2TB,Medium,Transfer
External_HDD,SanDisk,4TB,Low,Personal
External_HDD,SanDisk,8TB,Medium,Personal
External_HDD,Kingston,500GB,High,Business
External_HDD,Kingston,1TB,High,Personal
External_HDD,Kingston,2TB,Medium,Backup
External_HDD,Kingston,4TB,High,Backup
External_HDD,Kingston,8TB,High,Backup
External_HDD,Samsung,500GB,High,Transfer
External_HDD,Samsung,1TB,Medium,Transfer
External_HDD,Samsung,2TB,High,Personal
External_HDD,Samsung,4TB,High,Business
External_HDD,Samsung,8TB,High,Transfer
External_HDD,Western_Digital,500GB,Low,Transfer
External_HDD,Western_Digital,1TB,Medium,Business
External_HDD,Western_Digital,2TB,Low,Business
External_HDD,Western_Digital,4TB,Medium,Transfer
External_HDD,Western_Digital,8TB,High,Business
External_HDD,Seagate,500GB,Low,Transfer
External_HDD,Seagate,1TB,Low,Backup
External_HDD,Seagate,2TB,High,Business
External_HDD,Seagate,4TB,Low,Backup
External_HDD,Seagate,8TB,High,Backup
External_HDD,Lexar,500GB,Low,Transfer
External_HDD,Lexar,1TB,High,Business
External_HDD,Lexar,2TB,High,Business
External_HDD,Lexar,4TB,Low,Business
External_HDD,Lexar,8TB,Medium,Business
External_HDD,PNY,500GB,High,Transfer
External_HDD,PNY,1TB,Low,Business
External_HDD,PNY,2TB,High,Transfer
External_HDD,PNY,4TB,Medium,Transfer
External_HDD,PNY,8TB,High,Backup
USB_SSD,SanDisk,120GB,High,Personal
