device_type,manufacturer,typical_capacity,risk_level,common_use,transfer_speed,security_features
USB_Flash_Drive,SanDisk,8GB,Low,Personal,USB2.0,Basic
USB_Flash_Drive,SanDisk,16GB,Low,Personal,USB2.0,Basic
USB_Flash_Drive,SanDisk,32GB,Medium,Business,USB3.0,Basic
USB_Flash_Drive,SanDisk,64GB,Medium,Business,USB3.0,Encryption
USB_Flash_Drive,SanDisk,128GB,High,Transfer,USB3.0,Encryption
USB_Flash_Drive,Kingston,8GB,Low,Personal,USB2.0,Basic
USB_Flash_Drive,Kingston,16GB,Low,Personal,USB2.0,Basic
USB_Flash_Drive,Kingston,32GB,Medium,Business,USB3.0,Basic
USB_Flash_Drive,Kingston,64GB,Medium,Business,USB3.0,Encryption
USB_Flash_Drive,Kingston,128GB,High,Transfer,USB3.0,Encryption
USB_Flash_Drive,Samsung,16GB,Low,Personal,USB3.0,Basic
USB_Flash_Drive,Samsung,32GB,Medium,Business,USB3.0,Basic
USB_Flash_Drive,Samsung,64GB,Medium,Business,USB3.0,Encryption
USB_Flash_Drive,Samsung,128GB,High,Transfer,USB3.0,Encryption
USB_Flash_Drive,PNY,8GB,Low,Personal,USB2.0,Basic
USB_Flash_Drive,PNY,16GB,Low,Personal,USB2.0,Basic
USB_Flash_Drive,PNY,32GB,Medium,Business,USB3.0,Basic
USB_Flash_Drive,Lexar,16GB,Low,Personal,USB3.0,Basic
USB_Flash_Drive,Lexar,32GB,Medium,Business,USB3.0,Basic
USB_Flash_Drive,Lexar,64GB,Medium,Business,USB3.0,Encryption
External_HDD,Western_Digital,500GB,High,Backup,USB3.0,Encryption
External_HDD,Western_Digital,1TB,High,Backup,USB3.0,Encryption
External_HDD,Western_Digital,2TB,High,Backup,USB3.0,Encryption
External_HDD,Western_Digital,4TB,High,Backup,USB3.0,Encryption
External_HDD,Western_Digital,8TB,High,Backup,USB3.0,Encryption
External_HDD,Seagate,500GB,High,Backup,USB3.0,Encryption
External_HDD,Seagate,1TB,High,Backup,USB3.0,Encryption
External_HDD,Seagate,2TB,High,Backup,USB3.0,Encryption
External_HDD,Seagate,4TB,High,Backup,USB3.0,Encryption
External_HDD,Seagate,8TB,High,Backup,USB3.0,Encryption
External_HDD,Samsung,1TB,High,Backup,USB3.0,Encryption
External_HDD,Samsung,2TB,High,Backup,USB3.0,Encryption
External_HDD,Samsung,4TB,High,Backup,USB3.0,Encryption
USB_SSD,Samsung,120GB,Medium,Transfer,USB3.0,Encryption
USB_SSD,Samsung,240GB,Medium,Transfer,USB3.0,Encryption
USB_SSD,Samsung,480GB,High,Transfer,USB3.0,Encryption
USB_SSD,Samsung,1TB,High,Transfer,USB3.0,Encryption
USB_SSD,Samsung,2TB,High,Transfer,USB3.0,Encryption
USB_SSD,SanDisk,120GB,Medium,Transfer,USB3.0,Encryption
USB_SSD,SanDisk,240GB,Medium,Transfer,USB3.0,Encryption
USB_SSD,SanDisk,480GB,High,Transfer,USB3.0,Encryption
USB_SSD,SanDisk,1TB,High,Transfer,USB3.0,Encryption
USB_SSD,Kingston,120GB,Medium,Transfer,USB3.0,Basic
USB_SSD,Kingston,240GB,Medium,Transfer,USB3.0,Encryption
USB_SSD,Kingston,480GB,High,Transfer,USB3.0,Encryption
USB_SSD,Western_Digital,240GB,Medium,Transfer,USB3.0,Encryption
USB_SSD,Western_Digital,480GB,High,Transfer,USB3.0,Encryption
USB_SSD,Western_Digital,1TB,High,Transfer,USB3.0,Encryption
SD_Card,SanDisk,16GB,Low,Personal,USB2.0,Basic
SD_Card,SanDisk,32GB,Low,Personal,USB2.0,Basic
SD_Card,SanDisk,64GB,Medium,Business,USB3.0,Basic
SD_Card,SanDisk,128GB,Medium,Business,USB3.0,Basic
SD_Card,SanDisk,256GB,Medium,Business,USB3.0,Basic
SD_Card,Samsung,16GB,Low,Personal,USB2.0,Basic
SD_Card,Samsung,32GB,Low,Personal,USB2.0,Basic
SD_Card,Samsung,64GB,Medium,Business,USB3.0,Basic
SD_Card,Samsung,128GB,Medium,Business,USB3.0,Basic
SD_Card,Samsung,256GB,Medium,Business,USB3.0,Basic
SD_Card,Kingston,16GB,Low,Personal,USB2.0,Basic
SD_Card,Kingston,32GB,Low,Personal,USB2.0,Basic
SD_Card,Kingston,64GB,Medium,Business,USB3.0,Basic
SD_Card,Lexar,32GB,Low,Personal,USB2.0,Basic
SD_Card,Lexar,64GB,Medium,Business,USB3.0,Basic
SD_Card,Lexar,128GB,Medium,Business,USB3.0,Basic
Portable_Drive,Western_Digital,1TB,High,Backup,USB3.0,Encryption
Portable_Drive,Western_Digital,2TB,High,Backup,USB3.0,Encryption
Portable_Drive,Western_Digital,4TB,High,Backup,USB3.0,Encryption
Portable_Drive,Western_Digital,5TB,High,Backup,USB3.0,Encryption
Portable_Drive,Western_Digital,8TB,High,Backup,USB3.0,Encryption
Portable_Drive,Seagate,1TB,High,Backup,USB3.0,Encryption
Portable_Drive,Seagate,2TB,High,Backup,USB3.0,Encryption
Portable_Drive,Seagate,4TB,High,Backup,USB3.0,Encryption
Portable_Drive,Seagate,5TB,High,Backup,USB3.0,Encryption
Portable_Drive,Seagate,8TB,High,Backup,USB3.0,Encryption
Portable_Drive,Samsung,1TB,High,Backup,USB3.0,Encryption
Portable_Drive,Samsung,2TB,High,Backup,USB3.0,Encryption
Portable_Drive,Samsung,4TB,High,Backup,USB3.0,Encryption
