timestamp,user,device_id,device_type,manufacturer,bytes_written,session_duration,file_types,src_ip,action,result,hour,day_of_week,is_anomaly,anomaly_type
2025-06-10 00:05:36,kavya.reddy,PNY_External_HDD_XMFW5P41,External_HDD,PNY,1181101604,45,images,192.168.3.97,write,success,0,1,0,normal
2025-06-10 00:36:45,priya.patel,SanDisk_SD_Card_M6QP2J81,SD_Card,SanDisk,147043138,3,data,192.168.5.196,write,success,0,1,0,normal
2025-06-10 00:47:14,rohit.gupta,SanDisk_Portable_Drive_86UM64G2,Portable_Drive,SanDisk,3209707992,106,data,192.168.8.49,write,success,0,1,0,normal
2025-06-10 00:54:04,sneha.agarwal,Lexar_USB_Flash_Drive_6GL4Z3CZ,USB_Flash_Drive,Lexar,28132266,1,mixed,192.168.8.36,write,success,0,1,0,normal
2025-06-10 01:02:59,sneha.agarwal,Samsung_USB_SSD_X27PIKBE,USB_SSD,Samsung,901632742,27,videos,192.168.9.120,write,success,1,1,0,normal
2025-06-10 01:07:37,rajesh.sharma,SanDisk_SD_Card_O2ASYEFA,SD_Card,SanDisk,36528271,1,software,192.168.3.138,write,success,1,1,0,normal
2025-06-10 01:18:31,ananya.nair,Samsung_USB_Flash_Drive_4QP5PPQY,USB_Flash_Drive,Samsung,69338549,2,software,192.168.3.185,write,success,1,1,0,normal
2025-06-10 01:46:00,arjun.singh,Lexar_External_HDD_BRE7C76M,External_HDD,Lexar,319041120,5,mixed,192.168.5.157,write,failure,1,1,0,normal
2025-06-10 01:50:38,sneha.agarwal,Kingston_Portable_Drive_6UDKKLBB,Portable_Drive,Kingston,2855305967,48,mixed,192.168.2.107,write,success,1,1,0,normal
2025-06-10 01:55:47,ravi.mehta,Lexar_Portable_Drive_JB5VXHPJ,Portable_Drive,Lexar,1838396983,34,software,192.168.5.144,write,failure,1,1,0,normal
2025-06-10 02:22:07,rohit.gupta,Lexar_SD_Card_FJWKGZWD,SD_Card,Lexar,14552481,1,data,192.168.5.64,write,success,2,1,0,normal
2025-06-10 02:36:41,vikram.joshi,Kingston_SD_Card_7WK4MV0Q,SD_Card,Kingston,96835677,1,images,192.168.6.31,read,success,2,1,0,normal
2025-06-10 03:06:38,sneha.agarwal,Lexar_External_HDD_GEPFUEJL,External_HDD,Lexar,1607528128,54,images,192.168.7.40,read,success,3,1,0,normal
2025-06-10 03:35:18,rajesh.sharma,Kingston_USB_SSD_MET39GKS,USB_SSD,Kingston,540263520,6,images,192.168.9.11,read,success,3,1,0,normal
2025-06-10 03:40:05,kavya.reddy,SanDisk_USB_Flash_Drive_7DYNBTC7,USB_Flash_Drive,SanDisk,21388615,1,videos,192.168.2.198,write,success,3,1,0,normal
2025-06-10 04:07:35,vikram.joshi,Lexar_USB_SSD_G6HI2TOF,USB_SSD,Lexar,166630997,5,documents,192.168.4.104,write,success,4,1,0,normal
2025-06-10 04:09:45,sneha.agarwal,Lexar_Portable_Drive_JGBDORMD,Portable_Drive,Lexar,2792743539,77,software,192.168.1.23,write,success,4,1,0,normal
2025-06-10 04:11:27,priya.patel,Kingston_SD_Card_6ZW9DHGO,SD_Card,Kingston,181724697,2,backup,192.168.1.101,write,failure,4,1,0,normal
2025-06-10 04:25:39,ananya.nair,Western_Digital_Portable_Drive_N7DBXO9C,Portable_Drive,Western_Digital,2900133620,60,data,192.168.6.177,write,success,4,1,0,normal
2025-06-10 04:40:55,rajesh.sharma,SanDisk_Portable_Drive_1R5LOROM,Portable_Drive,SanDisk,5902403094,36,videos,192.168.2.136,write,success,4,1,1,moderate
2025-06-10 04:56:09,rohit.gupta,PNY_USB_Flash_Drive_UJYC3ZK8,USB_Flash_Drive,PNY,18492511,1,mixed,192.168.2.53,write,failure,4,1,0,normal
2025-06-10 05:15:55,arjun.singh,PNY_Portable_Drive_6SNXE0UD,Portable_Drive,PNY,2236644476,70,data,192.168.3.111,write,success,5,1,0,normal
2025-06-10 05:46:56,priya.patel,Kingston_External_HDD_FNIT1618,External_HDD,Kingston,1129106788,33,images,192.168.1.140,write,success,5,1,0,normal
2025-06-10 06:44:50,ananya.nair,Samsung_USB_Flash_Drive_0MRGYOCC,USB_Flash_Drive,Samsung,22194234,1,software,192.168.9.21,write,success,6,1,0,normal
2025-06-10 07:05:18,kavya.reddy,Western_Digital_Portable_Drive_5IP3SYO1,Portable_Drive,Western_Digital,5127299624,84,mixed,192.168.6.178,write,success,7,1,1,moderate
2025-06-10 07:13:34,amit.kumar,Western_Digital_SD_Card_50WGFLH7,SD_Card,Western_Digital,18283517,1,backup,192.168.3.106,read,success,7,1,0,normal
2025-06-10 07:25:07,ananya.nair,Seagate_USB_Flash_Drive_HE9NGKEB,USB_Flash_Drive,Seagate,82853944,2,backup,192.168.1.135,write,success,7,1,0,normal
2025-06-10 07:41:34,priya.patel,SanDisk_External_HDD_YEHSCCI9,External_HDD,SanDisk,710600509,11,videos,192.168.10.32,write,success,7,1,0,normal
2025-06-10 07:46:28,vikram.joshi,Seagate_USB_SSD_IXXQYNBL,USB_SSD,Seagate,141990629,1,videos,192.168.10.198,read,success,7,1,0,normal
2025-06-10 07:53:16,sneha.agarwal,Lexar_External_HDD_HT8EBEIF,External_HDD,Lexar,15351778711,353,backup,192.168.6.78,read,success,7,1,1,high_volume
2025-06-10 08:07:34,rajesh.sharma,SanDisk_Portable_Drive_5W2YHEA0,Portable_Drive,SanDisk,1542512945,46,documents,192.168.9.169,read,success,8,1,0,normal
2025-06-10 08:08:36,arjun.singh,Lexar_External_HDD_NZSAC9JC,External_HDD,Lexar,1749463192,47,videos,192.168.9.50,write,success,8,1,0,normal
2025-06-10 08:10:54,amit.kumar,SanDisk_USB_SSD_MJDVZICZ,USB_SSD,SanDisk,342270516,4,backup,192.168.3.27,write,failure,8,1,0,normal
2025-06-10 08:16:26,priya.patel,Lexar_External_HDD_M5U7GXFQ,External_HDD,Lexar,62441814,1,software,192.168.10.91,write,success,8,1,1,frequent_small
2025-06-10 08:21:12,priya.patel,Kingston_SD_Card_UADAEEUQ,SD_Card,Kingston,171355993,4,software,192.168.9.146,write,success,8,1,0,normal
2025-06-10 08:32:49,ravi.mehta,Samsung_USB_Flash_Drive_RPGEIMPB,USB_Flash_Drive,Samsung,44367645,1,images,192.168.10.37,write,success,8,1,0,normal
2025-06-10 08:42:10,ananya.nair,PNY_USB_SSD_ZV9J4W9F,USB_SSD,PNY,617168078,13,documents,192.168.10.19,write,success,8,1,0,normal
2025-06-10 08:49:14,sneha.agarwal,Lexar_External_HDD_TAOF9ONM,External_HDD,Lexar,1975386884,57,data,192.168.4.161,write,success,8,1,0,normal
2025-06-10 08:53:09,ravi.mehta,PNY_USB_Flash_Drive_QNCUC4VW,USB_Flash_Drive,PNY,89916414,1,software,192.168.8.33,write,success,8,1,0,normal
2025-06-10 08:53:27,ananya.nair,PNY_Portable_Drive_9Q8QQ2V8,Portable_Drive,PNY,1622538371,51,mixed,192.168.7.44,write,success,8,1,0,normal
2025-06-10 08:53:51,ananya.nair,Western_Digital_External_HDD_YPV2XRL0,External_HDD,Western_Digital,1982038324,71,documents,192.168.4.134,read,success,8,1,0,normal
2025-06-10 08:56:56,ravi.mehta,Samsung_USB_Flash_Drive_24BCGPRN,USB_Flash_Drive,Samsung,81760470,2,mixed,192.168.1.62,write,success,8,1,0,normal
