device_type,manufacturer,typical_capacity,risk_level,common_use
USB_Flash_Drive,SanDisk,8GB,High,Personal
USB_Flash_Drive,SanDisk,16GB,High,Transfer
USB_Flash_Drive,SanDisk,32GB,Low,Backup
USB_Flash_Drive,SanDisk,64GB,High,Backup
USB_Flash_Drive,SanDisk,128GB,Low,Transfer
USB_Flash_Drive,Kingston,8GB,Low,Backup
USB_Flash_Drive,Kingston,16GB,High,Transfer
USB_Flash_Drive,Kingston,32GB,High,Personal
USB_Flash_Drive,Kingston,64GB,Medium,Transfer
USB_Flash_Drive,Kingston,128GB,Medium,Transfer
USB_Flash_Drive,Samsung,8GB,Medium,Personal
USB_Flash_Drive,Samsung,16GB,Low,Personal
USB_Flash_Drive,Samsung,32GB,Medium,Business
USB_Flash_Drive,Samsung,64GB,High,Backup
USB_Flash_Drive,Samsung,128GB,Low,Business
USB_Flash_Drive,Western_Digital,8GB,Low,Backup
USB_Flash_Drive,Western_Digital,16GB,Medium,Personal
USB_Flash_Drive,Western_Digital,32GB,High,Transfer
USB_Flash_Drive,Western_Digital,64GB,Medium,Transfer
USB_Flash_Drive,Western_Digital,128GB,Low,Business
USB_Flash_Drive,Seagate,8GB,Medium,Personal
USB_Flash_Drive,Seagate,16GB,High,Business
USB_Flash_Drive,Seagate,32GB,Low,Business
USB_Flash_Drive,Seagate,64GB,Low,Transfer
USB_Flash_Drive,Seagate,128GB,Medium,Transfer
USB_Flash_Drive,Lexar,8GB,High,Business
USB_Flash_Drive,Lexar,16GB,Medium,Business
USB_Flash_Drive,Lexar,32GB,High,Personal
USB_Flash_Drive,Lexar,64GB,High,Backup
USB_Flash_Drive,Lexar,128GB,Medium,Business
USB_Flash_Drive,PNY,8GB,High,Backup
USB_Flash_Drive,PNY,16GB,Low,Personal
USB_Flash_Drive,PNY,32GB,Low,Personal
USB_Flash_Drive,PNY,64GB,Medium,Transfer
USB_Flash_Drive,PNY,128GB,High,Business
External_HDD,SanDisk,500GB,Low,Business
External_HDD,SanDisk,1TB,Low,Transfer
External_HDD,SanDisk,2TB,Low,Transfer
External_HDD,SanDisk,4TB,High,Backup
External_HDD,SanDisk,8TB,High,Transfer
External_HDD,Kingston,500GB,Medium,Business
External_HDD,Kingston,1TB,Low,Transfer
External_HDD,Kingston,2TB,High,Business
External_HDD,Kingston,4TB,Low,Transfer
External_HDD,Kingston,8TB,Medium,Personal
External_HDD,Samsung,500GB,Medium,Business
External_HDD,Samsung,1TB,High,Personal
External_HDD,Samsung,2TB,Medium,Personal
External_HDD,Samsung,4TB,Medium,Personal
External_HDD,Samsung,8TB,High,Backup
External_HDD,Western_Digital,500GB,Medium,Personal
External_HDD,Western_Digital,1TB,High,Backup
External_HDD,Western_Digital,2TB,High,Business
External_HDD,Western_Digital,4TB,High,Backup
External_HDD,Western_Digital,8TB,Low,Personal
External_HDD,Seagate,500GB,Low,Personal
External_HDD,Seagate,1TB,Medium,Backup
External_HDD,Seagate,2TB,Medium,Business
External_HDD,Seagate,4TB,Low,Business
External_HDD,Seagate,8TB,Low,Personal
External_HDD,Lexar,500GB,Low,Business
External_HDD,Lexar,1TB,Medium,Personal
External_HDD,Lexar,2TB,Low,Personal
External_HDD,Lexar,4TB,High,Backup
External_HDD,Lexar,8TB,High,Transfer
External_HDD,PNY,500GB,High,Personal
External_HDD,PNY,1TB,High,Personal
External_HDD,PNY,2TB,Low,Transfer
External_HDD,PNY,4TB,High,Backup
External_HDD,PNY,8TB,Medium,Backup
USB_SSD,SanDisk,120GB,Low,Business
USB_SSD,SanDisk,240GB,High,Backup
USB_SSD,SanDisk,480GB,Low,Backup
USB_SSD,SanDisk,1TB,High,Personal
USB_SSD,SanDisk,2TB,Low,Transfer
USB_SSD,Kingston,120GB,High,Personal
USB_SSD,Kingston,240GB,High,Transfer
USB_SSD,Kingston,480GB,High,Backup
USB_SSD,Kingston,1TB,Medium,Backup
USB_SSD,Kingston,2TB,Medium,Transfer
USB_SSD,Samsung,120GB,Medium,Business
USB_SSD,Samsung,240GB,High,Personal
USB_SSD,Samsung,480GB,High,Transfer
USB_SSD,Samsung,1TB,Low,Business
USB_SSD,Samsung,2TB,Low,Backup
USB_SSD,Western_Digital,120GB,Low,Personal
USB_SSD,Western_Digital,240GB,Low,Business
USB_SSD,Western_Digital,480GB,Medium,Business
USB_SSD,Western_Digital,1TB,Low,Personal
USB_SSD,Western_Digital,2TB,Low,Business
USB_SSD,Seagate,120GB,High,Business
USB_SSD,Seagate,240GB,High,Business
USB_SSD,Seagate,480GB,Low,Transfer
USB_SSD,Seagate,1TB,Medium,Backup
USB_SSD,Seagate,2TB,Low,Business
USB_SSD,Lexar,120GB,Medium,Transfer
USB_SSD,Lexar,240GB,Medium,Backup
USB_SSD,Lexar,480GB,High,Transfer
USB_SSD,Lexar,1TB,High,Business
USB_SSD,Lexar,2TB,Medium,Backup
USB_SSD,PNY,120GB,High,Backup
USB_SSD,PNY,240GB,High,Transfer
USB_SSD,PNY,480GB,Low,Business
USB_SSD,PNY,1TB,Medium,Backup
USB_SSD,PNY,2TB,Medium,Personal
SD_Card,SanDisk,16GB,Low,Transfer
SD_Card,SanDisk,32GB,Low,Personal
SD_Card,SanDisk,64GB,Low,Business
SD_Card,SanDisk,128GB,Low,Personal
SD_Card,SanDisk,256GB,Low,Personal
SD_Card,Kingston,16GB,Low,Backup
SD_Card,Kingston,32GB,High,Transfer
SD_Card,Kingston,64GB,Low,Backup
SD_Card,Kingston,128GB,Medium,Backup
SD_Card,Kingston,256GB,Medium,Transfer
SD_Card,Samsung,16GB,Low,Transfer
SD_Card,Samsung,32GB,Low,Transfer
SD_Card,Samsung,64GB,Low,Transfer
SD_Card,Samsung,128GB,Medium,Backup
SD_Card,Samsung,256GB,High,Backup
SD_Card,Western_Digital,16GB,Medium,Business
SD_Card,Western_Digital,32GB,Low,Business
SD_Card,Western_Digital,64GB,High,Personal
SD_Card,Western_Digital,128GB,Low,Backup
SD_Card,Western_Digital,256GB,High,Transfer
SD_Card,Seagate,16GB,Medium,Backup
SD_Card,Seagate,32GB,Medium,Backup
SD_Card,Seagate,64GB,High,Transfer
SD_Card,Seagate,128GB,Low,Personal
SD_Card,Seagate,256GB,Low,Personal
SD_Card,Lexar,16GB,High,Backup
SD_Card,Lexar,32GB,Low,Personal
SD_Card,Lexar,64GB,Low,Business
SD_Card,Lexar,128GB,Medium,Personal
SD_Card,Lexar,256GB,High,Personal
SD_Card,PNY,16GB,High,Backup
SD_Card,PNY,32GB,Low,Transfer
SD_Card,PNY,64GB,Medium,Transfer
SD_Card,PNY,128GB,Medium,Business
SD_Card,PNY,256GB,Medium,Personal
Portable_Drive,SanDisk,1TB,Medium,Transfer
Portable_Drive,SanDisk,2TB,High,Business
Portable_Drive,SanDisk,4TB,High,Business
Portable_Drive,SanDisk,5TB,High,Personal
Portable_Drive,SanDisk,8TB,High,Transfer
Portable_Drive,Kingston,1TB,High,Business
Portable_Drive,Kingston,2TB,Low,Personal
Portable_Drive,Kingston,4TB,High,Personal
Portable_Drive,Kingston,5TB,High,Backup
Portable_Drive,Kingston,8TB,Medium,Personal
Portable_Drive,Samsung,1TB,High,Business
Portable_Drive,Samsung,2TB,Medium,Personal
Portable_Drive,Samsung,4TB,Low,Backup
Portable_Drive,Samsung,5TB,Medium,Transfer
Portable_Drive,Samsung,8TB,High,Personal
Portable_Drive,Western_Digital,1TB,High,Personal
Portable_Drive,Western_Digital,2TB,High,Backup
Portable_Drive,Western_Digital,4TB,Medium,Personal
Portable_Drive,Western_Digital,5TB,Medium,Business
Portable_Drive,Western_Digital,8TB,Medium,Backup
Portable_Drive,Seagate,1TB,Low,Transfer
Portable_Drive,Seagate,2TB,Low,Personal
Portable_Drive,Seagate,4TB,Low,Personal
Portable_Drive,Seagate,5TB,Low,Transfer
Portable_Drive,Seagate,8TB,High,Transfer
Portable_Drive,Lexar,1TB,Low,Business
Portable_Drive,Lexar,2TB,High,Personal
Portable_Drive,Lexar,4TB,Medium,Personal
Portable_Drive,Lexar,5TB,Medium,Business
Portable_Drive,Lexar,8TB,Medium,Business
Portable_Drive,PNY,1TB,High,Transfer
Portable_Drive,PNY,2TB,High,Personal
Portable_Drive,PNY,4TB,Medium,Personal
Portable_Drive,PNY,5TB,High,Business
Portable_Drive,PNY,8TB,Low,Business
